Cruce,Pronostico 90',P(T1)%,P(X)%,P(T2)%,P(exacto)%,Pasa (a octavos)
South Africa vs Canada,0-2,15,24,61,10,Canada
Brazil vs Japan,1-0,48,29,23,10,Brazil
Germany vs Paraguay,2-1,57,27,16,10,Germany
Netherlands vs Morocco,1-1,36,29,35,14,Netherlands
Ivory Coast vs Norway,1-1,33,30,37,14,Norway
France vs Sweden,2-1,53,27,19,10,France
Mexico vs Ecuador,1-0,45,29,26,9,Mexico
England vs DR Congo,2-0,62,23,14,10,England
Belgium vs Senegal,2-1,51,26,22,10,Belgium
USA vs Bosnia & Herzegovina,1-0,44,30,26,9,USA
Spain vs Austria,2-1,51,28,21,10,Spain
Portugal vs Croatia,1-0,42,29,29,10,Portugal
Switzerland vs Algeria,2-1,49,28,23,10,Switzerland
Australia vs Egypt,1-2,23,28,49,10,Egypt
Argentina vs Cape Verde,2-0,69,21,10,10,Argentina
Colombia vs Ghana,2-1,50,28,22,10,Colombia
