Local,Visitante,GolesLocal,GolesVisitante
Qatar,Switzerland,,
Brazil,Morocco,,
Haiti,Scotland,,
Australia,Turkey,,
Germany,Curaçao,,
Netherlands,Japan,,
Ivory Coast,Ecuador,,
Sweden,Tunisia,,
Spain,Cape Verde,,
Belgium,Egypt,,
Saudi Arabia,Uruguay,,
Iran,New Zealand,,
France,Senegal,,
Iraq,Norway,,
Argentina,Algeria,,
Austria,Jordan,,
Portugal,DR Congo,,
England,Croatia,,
Ghana,Panama,,
Uzbekistan,Colombia,,
Czech Republic,South Africa,,
Switzerland,Bosnia & Herzegovina,,
Canada,Qatar,,
Mexico,South Korea,,
USA,Australia,,
Scotland,Morocco,,
Brazil,Haiti,,
Turkey,Paraguay,,
Netherlands,Sweden,,
Germany,Ivory Coast,,
Ecuador,Curaçao,,
Tunisia,Japan,,
Spain,Saudi Arabia,,
Belgium,Iran,,
Uruguay,Cape Verde,,
New Zealand,Egypt,,
Argentina,Austria,,
France,Iraq,,
Norway,Senegal,,
Jordan,Algeria,,
Portugal,Uzbekistan,,
England,Ghana,,
Panama,Croatia,,
Colombia,DR Congo,,
Bosnia & Herzegovina,Qatar,,
Switzerland,Canada,,
Scotland,Brazil,,
Morocco,Haiti,,
Czech Republic,Mexico,,
South Africa,South Korea,,
Curaçao,Ivory Coast,,
Ecuador,Germany,,
Japan,Sweden,,
Tunisia,Netherlands,,
Paraguay,Australia,,
Turkey,USA,,
Norway,France,,
Senegal,Iraq,,
Cape Verde,Saudi Arabia,,
Uruguay,Spain,,
New Zealand,Belgium,,
Egypt,Iran,,
Croatia,Ghana,,
Panama,England,,
Colombia,Portugal,,
DR Congo,Uzbekistan,,
Algeria,Austria,,
Jordan,Argentina,,
